epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,12383,3.55437,1.43352,0.78553,0.25223,0.1113,0.06075,0.01586,3.69031,1.46737,0.80428,0.0005447,0.0005447,0.0005447
149,12551.2,3.56273,1.44441,0.78762,0.24999,0.11123,0.05982,0.01537,3.69005,1.47006,0.80425,0.0005348,0.0005348,0.0005348
150,12673.1,3.54726,1.44962,0.79106,0.25479,0.11291,0.06103,0.01545,3.67982,1.46859,0.8031,0.0005249,0.0005249,0.0005249
151,12905.8,3.56005,1.44609,0.78822,0.24834,0.11264,0.05983,0.01544,3.68987,1.46413,0.8041,0.000515,0.000515,0.000515
152,13109.9,3.56177,1.44335,0.79179,0.24517,0.11051,0.05678,0.01464,3.69561,1.4722,0.80476,0.0005051,0.0005051,0.0005051
153,13220,3.54205,1.43972,0.78959,0.25304,0.1129,0.06045,0.0168,3.67463,1.45989,0.80193,0.0004952,0.0004952,0.0004952
154,13365.3,3.54139,1.42844,0.78462,0.25138,0.11354,0.06058,0.01559,3.67346,1.45561,0.80229,0.0004853,0.0004853,0.0004853
155,13516.4,3.5564,1.43558,0.78464,0.25404,0.11559,0.06092,0.01523,3.6605,1.45572,0.8012,0.0004754,0.0004754,0.0004754
156,13632.9,3.53997,1.43897,0.78545,0.25582,0.11574,0.06171,0.01689,3.66359,1.45514,0.80098,0.0004655,0.0004655,0.0004655
157,13751.2,3.52052,1.42939,0.79067,0.25368,0.11432,0.0609,0.01592,3.67686,1.4605,0.80179,0.0004556,0.0004556,0.0004556
158,13894.4,3.51919,1.43261,0.78508,0.25315,0.11432,0.06089,0.01572,3.68319,1.45431,0.80217,0.0004457,0.0004457,0.0004457
159,14064.2,3.55107,1.44358,0.78551,0.25431,0.11401,0.06164,0.01582,3.68537,1.45968,0.80222,0.0004358,0.0004358,0.0004358
160,14224,3.5192,1.41171,0.7875,0.26289,0.11687,0.06247,0.01562,3.65406,1.45731,0.80008,0.0004259,0.0004259,0.0004259
161,14351.3,3.52762,1.43636,0.78572,0.25287,0.11259,0.06059,0.01555,3.67916,1.46323,0.80414,0.000416,0.000416,0.000416
162,14483.9,3.50392,1.40832,0.78464,0.2527,0.11296,0.05996,0.01551,3.68178,1.4589,0.80374,0.0004061,0.0004061,0.0004061
163,14648.6,3.52215,1.42771,0.7873,0.24891,0.11031,0.05698,0.01499,3.70598,1.46791,0.80601,0.0003962,0.0003962,0.0003962
164,14774,3.52978,1.43169,0.7803,0.24846,0.1101,0.05689,0.01488,3.71379,1.4643,0.80501,0.0003863,0.0003863,0.0003863
165,14955.1,3.49051,1.42127,0.78426,0.25725,0.11409,0.06143,0.01681,3.67989,1.45495,0.80115,0.0003764,0.0003764,0.0003764
166,15065.5,3.50921,1.41911,0.78456,0.25609,0.11495,0.06226,0.0161,3.67136,1.45713,0.80126,0.0003665,0.0003665,0.0003665
167,15214.3,3.476,1.40934,0.78742,0.26025,0.11674,0.06227,0.01724,3.65623,1.45046,0.79938,0.0003566,0.0003566,0.0003566
168,15343.4,3.5095,1.42868,0.78061,0.25811,0.11451,0.06147,0.01608,3.67274,1.45398,0.80181,0.0003467,0.0003467,0.0003467
169,15475,3.49637,1.40589,0.78266,0.25694,0.11396,0.06129,0.01583,3.67772,1.45362,0.80295,0.0003368,0.0003368,0.0003368
170,15597.3,3.51185,1.41918,0.77971,0.25728,0.11443,0.06173,0.0158,3.67304,1.45009,0.80255,0.0003269,0.0003269,0.0003269
171,15756.5,3.48583,1.41708,0.78341,0.25541,0.11449,0.06105,0.01549,3.67403,1.44952,0.80185,0.000317,0.000317,0.000317
172,15865.1,3.45225,1.40939,0.78614,0.25017,0.11289,0.0596,0.01468,3.69086,1.45184,0.80305,0.0003071,0.0003071,0.0003071
173,15987.7,3.5071,1.4276,0.78256,0.24908,0.11308,0.05976,0.01444,3.69238,1.45011,0.80263,0.0002972,0.0002972,0.0002972
174,16099.8,3.48138,1.4062,0.78246,0.25364,0.11378,0.06109,0.01614,3.67924,1.44767,0.80172,0.0002873,0.0002873,0.0002873
175,16224.1,3.47484,1.42066,0.78289,0.25328,0.11303,0.06058,0.01513,3.68454,1.45281,0.80218,0.0002774,0.0002774,0.0002774
